epoch,total,esr,spec
1,0.6774793080806732,0.5882642985105514,0.8113017724514008
2,0.4649029041290283,0.3778026968598366,0.5955531840324402
3,0.40746086568832396,0.30723848688602445,0.5577944085121155
4,0.38767956442832946,0.28553818839788436,0.5408916032791138
5,0.376108225440979,0.27473131288290026,0.5281735713958741
6,0.36783444366455076,0.26687381061315535,0.5192753710746765
7,0.36157753565311435,0.26065862250328065,0.5129558831453324
8,0.35645103800296785,0.2567195865750313,0.5060481935501099
9,0.350354990363121,0.2512120530605316,0.49906937460899353
10,0.3449470555305481,0.24604346660375595,0.4933024173259735
11,0.3415466999053955,0.2426364990234375,0.48991197786331175
12,0.33811194224357605,0.2386679931998253,0.4872778428792954
13,0.3341006489276886,0.2343541682422161,0.4837203491449356
14,0.3328757406949997,0.23314362380504608,0.48247389454841616
15,0.33225733215808867,0.23277983949184416,0.4814735497713089
16,0.3281741534233093,0.22737474331855773,0.4793732462882996
17,0.3255956102132797,0.22441496019363402,0.47736656498908997
18,0.32302791600227354,0.22091256628036499,0.476200919175148
19,0.32323521122932436,0.22148852348327636,0.4758552221775055
20,0.32205284752845764,0.22068543325662612,0.47410394768714903
